0:0:0:0:0:0:0:1 - - [25/Sep/2024:15:32:04 +0900] "GET /edu/jsexam/domexam/exam6.html HTTP/1.1" 200 1251
0:0:0:0:0:0:0:1 - - [25/Sep/2024:15:32:08 +0900] "GET /edu/jsexam/domexam/exam7.html HTTP/1.1" 200 1151
0:0:0:0:0:0:0:1 - - [25/Sep/2024:15:32:14 +0900] "GET /edu/jsexam/domexam/exam8.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:02:16 +0900] "GET /edu/jsexam/domexam/exercise10.html HTTP/1.1" 200 1379
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:02:28 +0900] "GET /edu/webapp/first.html HTTP/1.1" 404 836
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:05:45 +0900] "GET /edu/jsexam/domexam/exercise10.html HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:06:22 +0900] "GET /edu/jsexam/domexam/exercise10.html HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:14:55 +0900] "GET /edu/jsexam/domexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:14:56 +0900] "GET /edu/jsexam/domexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:14:56 +0900] "GET /edu/jsexam/domexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:14:56 +0900] "GET /edu/jsexam/domexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:14:57 +0900] "GET /edu/jsexam/domexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:14:59 +0900] "GET /edu/jsexam/domexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:14:59 +0900] "GET /edu/jsexam/domexam/exam2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:15:03 +0900] "GET /edu/jsexam/domexam/exercise10.html HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:15:09 +0900] "GET /edu/jsexam/domexam/exercise11_1.html HTTP/1.1" 200 779
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:15:38 +0900] "GET /edu/jsexam/domexam/exam3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:17:20 +0900] "GET /edu/jsexam/domexam/exam3_!.html HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:17:25 +0900] "GET /edu/jsexam/domexam/exam3_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:18:09 +0900] "GET /edu/jsexam/domexam/exam4_1.html HTTP/1.1" 200 715
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:27:40 +0900] "GET /edu/jsexam/domexam/exercise13.html HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:27:45 +0900] "GET /edu/jsexam/domexam/exercise14.html HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:28:02 +0900] "GET /edu/jsexam/domexam/exem13.html HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:29:18 +0900] "GET /edu/jsexam/domexam/exercise13.html HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:30:14 +0900] "GET /edu/jsexam/domexam/exam14.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:36:25 +0900] "GET /edu/jsexam/domexam/exercise13.html HTTP/1.1" 200 877
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:36:26 +0900] "GET /edu/jsexam/domexam/exercise13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:36:26 +0900] "GET /edu/jsexam/domexam/exercise13.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:38:50 +0900] "GET /edu/jsexam/domexam/exam15.html HTTP/1.1" 200 2237
0:0:0:0:0:0:0:1 - - [25/Sep/2024:16:38:55 +0900] "GET /edu/jsexam/domexam/exam12.html HTTP/1.1" 404 849
